Hello,Hello to you!
Hello,Hi there!
Hello,Greetings! How may I help you?
Hello,Hello to you!
Hello,It's nice to see you!
Hello,Hi there!
Hello,Hello to you!
Hi,Greetings! How may I help you?
Hello,Greetings! How may I help you?
Hi,Greetings! How may I help you?
Hello,Hey!
Hello,Hi there!
Hello,Greetings! How may I help you?
Hello,Greetings! How may I help you?
Hello,Hey!
Hello,Greetings! How may I help you?
Hello,Greetings! How may I help you?
Hello,Hello to you!
Hello,Greetings! How may I help you?
Hello,Hello to you!
Hi,Greetings! How may I help you?
I%20want%20to%20know%20the%20time,<br>You can find your answer here: <a target='_blank' href='https://www.google.com/search?q=I%20want%20to%20know%20the%20time'>I want to know the time</a>
What%20is%20the%20time?,The time is now 6:04 PM EST
ok,<br>You can find your answer here: <a target='_blank' href='https://www.google.com/search?q=ok'>ok</a>
cool,Cool! Anything else I can help you with?
No,Alright!
Hello,Greetings! How may I help you?
Hello,It's nice to see you!
I%20want%20to%20know%20the%20time,The time is now 6:10 PM EST
What%20day%20is%20it?,"Today is Thursday, 4/18/2024"
What%20month%20is%20it?,The time is now 6:10 PM EST
Which%20city%20is%20the%20biggest%20in%20the%20world,<br>You can find your answer here: <a target='_blank' href='https://www.google.com/search?q=Which%20city%20is%20the%20biggest%20in%20the%20world'>Which city is the biggest in the world</a>
Thank%20you,You're welcome!
Bye,See you soon!
Who%20are%20you,I am a ChatBot. I'm waiting to answer your questions!
What%20are%20you,I am a ChatBot. I'm waiting to answer your questions!
Do%20you%20know%20me?,I'm sorry I don't know any
Hello,It's nice to see you!
ho,<br>You can find your answer here: <a target='_blank' href='https://www.google.com/search?q=ho'>ho</a>
Do%20you%20know%20any%20dances,"<a href=""https://www.google.com/"">Google</a>"
Do%20you%20know?,Not sure.
